04-16-19:40:42.9197 1140 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
04-16-19:40:42.9287 1140 CM2CSession::SendInitData:34 CS Connected, try to register me.
04-16-19:40:42.9317 1140 CM2CSession::OnRealEstablish:46 CS Connected and register ok
04-16-19:40:42.9327 1140 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
04-16-19:40:42.9367 1140 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
04-16-19:40:42.9387 1140 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
04-16-19:40:43.0097 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-19:40:43.4127 1140 CM2BSession::SendInitData:33 BS Connected, try to register me.
04-16-19:40:43.4157 1140 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
04-16-19:43:23.0488 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-19:46:03.0920 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
04-16-19:48:43.1031 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-19:51:23.1593 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-19:54:03.2335 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-19:56:43.3326 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 10.
04-16-19:59:23.3468 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 6.
04-16-20:02:03.4219 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
04-16-20:04:43.4431 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-20:07:23.4522 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-20:10:03.4544 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-20:12:43.4575 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-20:15:23.4587 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-20:18:03.4608 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-20:20:43.4600 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-20:23:23.4611 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-16-20:26:03.4943 1140 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
