04-03-16:21:32.7752 1744 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
04-03-16:21:33.3283 1744 CM2CSession::SendInitData:34 CS Connected, try to register me.
04-03-16:21:33.3393 1744 CM2CSession::OnRealEstablish:46 CS Connected and register ok
04-03-16:21:33.3433 1744 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
04-03-16:21:33.3443 1744 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
04-03-16:21:33.3463 1744 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
04-03-16:21:33.3893 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-16:21:33.7903 1744 CM2BSession::SendInitData:33 BS Connected, try to register me.
04-03-16:21:33.8033 1744 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
04-03-16:24:13.3974 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-03-16:26:53.4106 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-16:29:33.4827 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 12.
04-03-16:32:13.5379 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-03-16:34:53.6140 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-03-16:37:33.6212 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
04-03-16:40:13.6473 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-16:42:53.7495 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
04-03-16:45:33.8206 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 6.
04-03-16:48:13.8718 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
04-03-16:50:53.9510 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
04-03-16:53:34.0051 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-16:56:14.0053 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-03-16:58:54.0084 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:01:34.0076 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-03-17:04:14.0107 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-03-17:06:54.0119 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:09:34.0110 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:12:14.0112 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:14:54.0093 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-03-17:17:34.0115 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:20:14.0116 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:22:54.0118 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:25:34.0219 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:28:14.0411 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:30:54.0412 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:33:34.0874 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:36:14.0865 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-03-17:38:54.0877 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:41:34.0878 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:44:14.0870 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:46:54.0871 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:49:34.0873 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:52:14.0854 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-03-17:54:54.0876 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-17:57:34.0858 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-03-18:00:14.0869 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-03-18:02:54.0871 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-18:05:34.0882 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-03-18:08:14.0894 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-18:10:54.0875 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-03-18:13:34.1037 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-03-18:16:14.1068 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-18:18:54.1110 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-03-18:21:34.1111 1744 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
