05-22-16:46:03.5380 12392 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
05-22-16:46:04.0320 12392 CM2BSession::SendInitData:33 BS Connected, try to register me.
05-22-16:46:04.0340 12392 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
05-22-16:46:04.5520 12392 CM2CSession::SendInitData:34 CS Connected, try to register me.
05-22-16:46:04.5640 12392 CM2CSession::OnRealEstablish:46 CS Connected and register ok
05-22-16:46:04.5660 12392 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
05-22-16:46:04.5680 12392 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
05-22-16:46:04.5700 12392 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
05-22-16:46:04.6240 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-16:48:44.6872 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-16:51:24.7783 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-16:54:04.8295 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-22-16:56:44.9017 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-16:59:24.9308 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-22-17:02:04.9850 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-22-17:04:45.0441 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 7.
05-22-17:07:25.1113 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 7.
05-22-17:10:05.1354 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:12:45.2236 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-22-17:15:25.2927 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:18:05.3299 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:20:45.3670 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-22-17:23:25.3822 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:26:05.3954 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:28:45.4405 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:31:25.4477 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:34:05.4498 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
05-22-17:36:45.5060 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:39:25.5471 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:42:05.5803 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:44:45.5994 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:47:25.6126 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:50:05.6457 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:52:45.6889 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-17:55:25.7780 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-22-17:58:05.8692 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 14.
05-22-18:00:45.8603 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-22-18:03:25.9345 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-22-18:06:06.0047 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-22-18:08:46.0458 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:11:26.0710 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:14:06.0861 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-22-18:16:46.1333 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 12.
05-22-18:19:26.1594 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
05-22-18:22:06.2656 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 10.
05-22-18:24:46.3877 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:27:26.4839 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 17.
05-22-18:30:06.5361 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:32:46.5712 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:35:26.5874 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:38:06.5895 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:40:46.6137 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:43:26.6298 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:46:06.6420 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:48:46.6441 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:51:26.6603 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:54:06.7274 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:56:46.7386 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-18:59:26.7407 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:02:06.7579 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:04:46.7810 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:07:26.7812 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:10:06.7923 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:12:46.7945 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-22-19:15:26.8066 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:18:06.8398 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:20:46.8439 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:23:26.8491 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-22-19:26:06.9433 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:28:46.9684 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:31:26.9916 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:34:07.0137 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:36:47.0359 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:39:27.1030 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:42:07.1702 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-22-19:44:47.1833 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:47:27.1895 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-22-19:50:07.1966 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:52:47.2258 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
05-22-19:55:27.2419 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-19:58:07.2521 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:00:47.2662 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:03:27.3274 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:06:07.3346 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:08:47.3347 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:11:27.3519 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:14:07.3520 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:16:47.3522 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:19:27.3973 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:22:07.4185 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:24:47.4496 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:27:27.4578 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:30:07.4629 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:32:47.5011 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-22-20:35:27.5232 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:38:07.5534 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:40:47.6125 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:43:27.6207 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-22-20:46:07.6828 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:48:47.7740 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:51:27.8492 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:54:07.9143 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:56:47.9785 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-20:59:28.0476 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-21:02:08.1368 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-21:04:48.2049 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-21:07:28.2841 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 9.
05-22-21:10:08.3342 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-22-21:12:48.3684 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 4.
05-22-21:15:28.3726 12392 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
