06-06-16:41:46.9769 48060 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
06-06-16:41:47.4670 48060 CM2BSession::SendInitData:33 BS Connected, try to register me.
06-06-16:41:47.4690 48060 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
06-06-16:41:47.9960 48060 CM2CSession::SendInitData:34 CS Connected, try to register me.
06-06-16:41:48.0070 48060 CM2CSession::OnRealEstablish:46 CS Connected and register ok
06-06-16:41:48.0090 48060 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
06-06-16:41:48.0110 48060 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
06-06-16:41:48.0130 48060 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
06-06-16:41:48.0580 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-06-16:44:28.0732 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-06-16:47:08.1023 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-06-16:49:48.2005 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-06-16:52:28.2746 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
06-06-16:55:08.3668 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-06-16:57:48.4339 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-06-17:00:28.4921 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 17.
06-06-17:03:08.5372 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 4.
06-06-17:05:48.5534 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-06-17:08:28.6405 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
06-06-17:11:08.6737 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
06-06-17:13:48.7659 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
06-06-17:16:28.8590 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 17.
06-06-17:19:08.9302 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-06-17:21:48.9793 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 4.
06-06-17:24:29.0025 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 7.
06-06-17:27:09.0536 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
06-06-17:29:49.1498 48060 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
