04-24-10:31:25.4987 5092 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
04-24-10:31:25.9867 5092 CM2BSession::SendInitData:33 BS Connected, try to register me.
04-24-10:31:25.9887 5092 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
04-24-10:31:26.5207 5092 CM2CSession::SendInitData:34 CS Connected, try to register me.
04-24-10:31:26.5247 5092 CM2CSession::OnRealEstablish:46 CS Connected and register ok
04-24-10:31:26.5897 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:31:26.6197 5092 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
04-24-10:31:26.6267 5092 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
04-24-10:31:26.6317 5092 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
04-24-10:34:06.5959 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:36:46.6250 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:39:26.6582 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:42:06.6863 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:44:46.6875 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:47:26.7216 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:50:06.7528 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
04-24-10:52:46.8159 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:55:26.8771 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-10:58:06.9663 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
04-24-11:00:47.0234 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:03:27.0346 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:06:07.0617 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 7.
04-24-11:08:47.0599 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-24-11:11:27.1390 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
04-24-11:14:07.2012 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:16:47.2173 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:19:27.2285 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:22:07.2386 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:24:47.2408 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:27:27.2439 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:30:07.2441 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:32:47.2442 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:35:27.2474 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:38:07.2525 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:40:47.2587 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:43:27.2639 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:46:07.2690 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:48:47.2732 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:51:27.2763 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:54:07.2765 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:56:47.2796 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-11:59:27.2828 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:02:07.2849 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:04:47.2841 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:07:27.2882 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:10:07.2894 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:12:47.2895 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:15:27.2897 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:18:07.2928 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:20:47.2990 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:23:27.3021 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:26:07.3083 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:28:47.3204 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:31:27.3266 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:34:07.3367 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:36:47.3389 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:39:27.3380 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:42:07.3402 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:44:47.3413 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:47:27.3495 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:50:07.3546 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:52:47.3588 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:55:27.3609 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-12:58:07.3651 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:00:47.3663 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:03:27.3664 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:06:07.3666 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:08:47.3727 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:11:27.3729 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:14:07.3740 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-24-13:16:47.3752 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:19:27.3753 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:22:07.3795 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:24:47.3836 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:27:27.3848 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:30:07.3849 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:32:47.3881 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:35:27.3922 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:38:07.3924 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:40:47.3955 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:43:27.4087 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-24-13:46:07.4178 5092 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
