12-15-09:37:39.6558 47360 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
12-15-09:37:40.1677 47360 CM2BSession::SendInitData:33 BS Connected, try to register me.
12-15-09:37:40.1786 47360 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
12-15-09:37:41.6894 47360 CM2CSession::SendInitData:34 CS Connected, try to register me.
12-15-09:37:41.7172 47360 CM2CSession::OnRealEstablish:46 CS Connected and register ok
12-15-09:37:41.7221 47360 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
12-15-09:37:41.7266 47360 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
12-15-09:37:41.7331 47360 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
12-15-09:37:41.7737 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-09:40:21.8539 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-09:43:01.9414 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-09:45:42.0374 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-09:48:22.1221 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-09:51:02.1503 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
12-15-09:53:42.2467 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-09:56:22.3388 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-09:59:02.4245 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-10:01:42.4561 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-10:04:22.5114 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
12-15-10:07:02.5245 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-10:09:42.5984 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-10:12:22.6684 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
12-15-10:15:02.7633 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
12-15-10:17:42.8199 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
12-15-10:20:22.8474 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-10:23:02.8556 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
12-15-10:25:42.9024 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
12-15-10:28:22.9146 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-10:31:02.9506 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-10:33:43.0136 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-10:36:23.0562 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-10:39:03.0562 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-10:41:43.0704 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
12-15-10:44:23.1699 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-10:47:03.2585 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-10:49:43.2668 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-10:52:23.3430 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-10:55:03.4381 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-10:57:43.4915 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-11:00:23.5132 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
12-15-11:03:03.5926 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
12-15-11:05:43.6223 47360 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
