04-10-21:30:31.8210 5996 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
04-10-21:30:32.3120 5996 CM2BSession::SendInitData:33 BS Connected, try to register me.
04-10-21:30:32.3150 5996 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
04-10-21:30:32.8560 5996 CM2CSession::SendInitData:34 CS Connected, try to register me.
04-10-21:30:32.9050 5996 CM2CSession::OnRealEstablish:46 CS Connected and register ok
04-10-21:30:32.9210 5996 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
04-10-21:30:32.9260 5996 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
04-10-21:30:32.9300 5996 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
04-10-21:30:32.9320 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-10-21:33:12.9992 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-10-21:35:53.0964 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-10-21:38:33.1245 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-10-21:41:13.1617 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-10-21:43:53.2518 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-10-21:46:33.3260 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 8.
04-10-21:49:13.3931 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-10-21:51:53.4883 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
04-10-21:54:33.5434 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-10-21:57:13.5456 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
04-10-21:59:53.6297 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 6.
04-10-22:02:33.6409 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 8.
04-10-22:05:13.6651 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 8.
04-10-22:07:53.7562 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 7.
04-10-22:10:33.8254 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
04-10-22:13:13.9245 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 4.
04-10-22:15:53.9427 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 9.
04-10-22:18:33.9818 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
04-10-22:21:14.0430 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 14.
04-10-22:23:54.0701 5996 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
