05-08-08:55:24.1080 6676 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
05-08-08:55:24.6950 6676 CM2CSession::SendInitData:34 CS Connected, try to register me.
05-08-08:55:24.7020 6676 CM2BSession::SendInitData:33 BS Connected, try to register me.
05-08-08:55:24.7080 6676 CM2CSession::OnRealEstablish:46 CS Connected and register ok
05-08-08:55:24.7100 6676 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
05-08-08:55:24.7110 6676 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
05-08-08:55:24.7140 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-08-08:55:24.7160 6676 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
05-08-08:55:24.7170 6676 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
05-08-08:58:04.7692 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-08-09:00:44.8443 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-08-09:03:24.9355 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-08-09:06:05.0076 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-08-09:08:45.0718 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-08-09:11:25.0919 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-08-09:14:05.1601 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-08-09:16:45.2022 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-08-09:19:25.2354 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-08-09:22:05.2856 6676 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
