05-15-09:47:28.3655 18312 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
05-15-09:47:28.9045 18312 CM2BSession::SendInitData:33 BS Connected, try to register me.
05-15-09:47:28.9065 18312 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
05-15-09:47:29.4345 18312 CM2CSession::SendInitData:34 CS Connected, try to register me.
05-15-09:47:29.4415 18312 CM2CSession::OnRealEstablish:46 CS Connected and register ok
05-15-09:47:29.4675 18312 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
05-15-09:47:29.4825 18312 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
05-15-09:47:29.4865 18312 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
05-15-09:47:29.4885 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-15-09:50:09.5177 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
05-15-09:52:49.6069 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-09:55:29.7010 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-09:58:09.7992 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-10:00:49.8013 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-10:03:29.8325 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-10:06:09.8656 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-10:08:49.9328 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-10:11:29.9959 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-10:14:10.0711 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 4.
05-15-10:16:50.0992 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 17.
05-15-10:19:30.1564 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 4.
05-15-10:22:10.1896 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 4.
05-15-10:24:50.1977 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 11.
05-15-10:27:30.2009 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 5.
05-15-10:30:10.2810 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-15-10:32:50.3622 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 7.
05-15-10:35:30.4603 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 10.
05-15-10:38:10.5465 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-15-10:40:50.6186 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 33.
05-15-10:43:30.6168 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-15-10:46:10.6829 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-10:48:50.7801 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-15-10:51:30.8583 18312 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
