05-28-15:08:25.6366 12700 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
05-28-15:08:26.1226 12700 CM2BSession::SendInitData:33 BS Connected, try to register me.
05-28-15:08:26.1246 12700 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
05-28-15:08:26.6586 12700 CM2CSession::SendInitData:34 CS Connected, try to register me.
05-28-15:08:26.6836 12700 CM2CSession::OnRealEstablish:46 CS Connected and register ok
05-28-15:08:26.6866 12700 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
05-28-15:08:26.6896 12700 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
05-28-15:08:26.6916 12700 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
05-28-15:08:26.7446 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:11:06.8378 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
05-28-15:13:46.9369 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:16:26.9681 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:19:06.9852 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
05-28-15:21:47.0784 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:24:27.1465 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:27:07.1687 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:29:47.1999 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:32:27.2500 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:35:07.3042 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
05-28-15:37:47.3453 12700 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
