10-15-21:11:52.3590 17172 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
10-15-21:11:52.9151 17172 CM2BSession::SendInitData:33 BS Connected, try to register me.
10-15-21:11:52.9181 17172 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
10-15-21:11:53.4251 17172 CM2CSession::SendInitData:34 CS Connected, try to register me.
10-15-21:11:53.4281 17172 CM2CSession::OnRealEstablish:46 CS Connected and register ok
10-15-21:11:53.4541 17172 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
10-15-21:11:53.4661 17172 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
10-15-21:11:53.4711 17172 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
10-15-21:11:53.4781 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
10-15-21:14:33.5602 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
10-15-21:17:13.6534 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:19:53.7516 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:22:33.8267 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
10-15-21:25:13.8459 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:27:53.8510 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:30:33.9402 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:33:14.0153 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:35:54.1065 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:38:34.1726 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:41:14.2408 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:43:54.2619 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 3.
10-15-21:46:34.3121 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:49:14.4053 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:51:54.4524 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:54:34.4946 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
10-15-21:57:14.5597 17172 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
