06-05-15:56:20.1782 7208 GateServer::CGSKernel::Initialize:107 CGSKernel Initialize success
06-05-15:56:20.6962 7208 CM2BSession::SendInitData:33 BS Connected, try to register me.
06-05-15:56:20.6982 7208 CM2BSession::OnRealEstablish:42 BS Connected and register ok.
06-05-15:56:21.2292 7208 CM2CSession::SendInitData:34 CS Connected, try to register me.
06-05-15:56:21.2802 7208 CM2CSession::OnRealEstablish:46 CS Connected and register ok
06-05-15:56:21.2842 7208 CM2SSession::SendInitData:36 SS(20001) Connected, try to register me.
06-05-15:56:21.2882 7208 CM2SSession::Msg_Handle_Init:92 register to SS 20001 success at session 3.
06-05-15:56:21.2912 7208 CM2SSession::OnRealEstablish:52 SS(20001) Connected and register ok.
06-05-15:56:21.2962 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-15:59:01.3854 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
06-05-16:01:41.4176 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:04:21.4447 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:07:01.4659 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:09:41.4980 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:12:21.5232 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
06-05-16:15:01.5603 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:17:41.5925 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:20:21.6226 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
06-05-16:23:01.6478 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 6.
06-05-16:25:41.6809 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
06-05-16:28:21.7111 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:31:01.7432 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:33:41.7914 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:36:21.8225 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:39:01.8297 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
06-05-16:41:41.8708 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:44:21.8950 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
06-05-16:47:01.9352 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:49:41.9533 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:52:22.0095 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:55:02.0406 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-16:57:42.0808 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:00:22.1289 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 0.
06-05-17:03:02.1471 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:05:42.1972 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:08:22.2024 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:11:02.2945 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:13:42.3277 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:16:22.3688 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:19:02.4620 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 1.
06-05-17:21:42.5052 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:24:22.5493 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:27:02.6195 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:29:42.6466 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
06-05-17:32:22.6758 7208 GateServer::CGSKernel::OnMsgFromCS_AskPingRet:41 Ping CS returned, tick span 2.
